Date,Open,High,Low,Close,Volume,EU_Trend,Price
09/08/2013,126.510002,127.269997,126.300003,CLOSE,6192000,0,108.22
12/08/2013,129.570007,129.710007,128.880005,CLOSE,7414300,0,108.97
13/08/2013,128.490005,128.649994,127.379997,CLOSE,7336100,0,109.82
14/08/2013,127.660004,129.070007,127.57,CLOSE,8713200,0,110.2
16/08/2013,132.559998,133.270004,131.389999,CLOSE,14447100,0,110.4
19/08/2013,132.330002,132.5,131.589996,CLOSE,8118400,1,109.9
20/08/2013,132.029999,133.130005,132.020004,CLOSE,7809100,1,110.15
21/08/2013,131.740005,133.229996,131.509995,CLOSE,10720200,0,109.81
22/08/2013,132.559998,133.460007,132.270004,CLOSE,5741800,0,109.9
23/08/2013,132.580002,135.240005,132.5,CLOSE,11623400,1,111.04
